Nabi | Hayriyye | Mesnevi | 2013 Türkçe ÖABT ve 2023 Okul Öncesi ÖABT'de sorulmuştur. |  | (1701) Türk çocuk edebiyatının öncü eserlerinden biri olarak kabul edilir. | 
Bestami Yazgan | Uçtu Uçtu Şiir Uçtu | Şiir |  |  | | 
Bestami Yazgan | Gözlük Takan Yıldızlar | Şiir |  |  | | 
Bestami Yazgan | Paten Giyen Kaplumbağa | Şiir |  |  | | 
Bestami Yazgan | Kirazlı Şemsiye | Şiir |  |  | | 
Bestami Yazgan | Masal Salıncağı | Masal |  |  | | 
Bestami Yazgan | Alfabenin Öyküsü | Öykü |  |  | | 
Bestami Yazgan | Masal Denizi | Masal |  |  | | 
Mavisel Yener | Mavi Zamanlar | Roman |  |  | | 
Mavisel Yener | Öğretmenim Atatürk | Öykü |  |  | | 
Mavisel Yener | Dolunay Dedektifleri | Roman Dizisi |  |  | | 
Mavisel Yener | Evinden Kaçan Masal | Masal |  | 1999 Tömer Ana Dili Masal Yarışması Ödülü. | Tömer Ana Dili Masal Yarışması Ödülü (1999) | 
Mavisel Yener | Üşengeç | Öykü |  | 2001 BU Yayınevi Çocuk Mizah Öyküleri Ödülü. | BU Yayınevi Çocuk Mizah Öyküleri ödülü (2001) | 
Mavisel Yener | Uçan Kitaplık | Öykü |  |  | | 
Şermin Yaşar | Deli Tarla | Öykü |  | 2021 Sait Faik Hikâye Armağanı. | (2021) Sait Faik Hikâye Armağanı'na layık görülmüştür. | 
Şermin Yaşar | Dedemin Bakkalı | Roman |  |  |  | 
Şermin Yaşar | Abartma Tozu | Öykü |  |  |  | 
Şermin Yaşar | Oh Ne Ala Memleket | Öykü |  |  |  | 
Şermin Yaşar | Çok Hayal Kuran Çocuk | Öykü |  |  |  | 
Şermin Yaşar | Cesaret Sandığı | Öykü |  |  |  | 
Mevlâna İdris Zengin | Dondurmalı Matematik | Öykü/Şiir |  |  | | 
Mevlâna İdris Zengin | Kuş Renkli Çocukluğum | Öykü/Şiir |  |  | | 
Mevlâna İdris Zengin | Hayal Dükkânı | Öykü/Şiir |  |  | | 
Mevlâna İdris Zengin | İyilik Dükkânı | Öykü/Şiir |  |  | | 
Mevlâna İdris Zengin | Hipnozcu Kedi | Öykü/Şiir |  |  | | 
Mevlâna İdris Zengin | Mavi Çocuk ve Bulut Çocuk | Öykü/Şiir |  |  | | 
Mevlâna İdris Zengin | Kuş Adam | Öykü/Şiir |  |  | | 
Çetin Öner | Gülibik | Öykü |  |  | | 
Çetin Öner | Dünyanın Bütün Kedileri | Öykü |  |  | | 
Çetin Öner | Mavi Kuşu Gören Var Mı? | Öykü |  |  | | 
Çetin Öner | Kargalar Kara Değildi | Öykü |  |  | | 
Çetin Öner | Piyango | Öykü |  |  | | 
Çetin Öner | Kömürcü Çocuk | Öykü |  |  | | 
Serpil Ural | Ali Baba'nın Çiftliği | Resimli Çocuk Kitabı |  | 1986 NOMA Uluslararası Çocuk Kitap Resimleme Yarışması Ödülü. | (1986) 5. NOMA Uluslararası Çocuk Kitap Resimleme Yarışması Ödülü almıştır. | 
Serpil Ural | Şafakta Yanan Mumlar | Çocuk Kitabı |  |  | | 
Serpil Ural | Zor Ödev Lozan | Çocuk Kitabı |  |  | | 
Serpil Ural | Efelerin Efesi Yörük Ali Efe | Çocuk Kitabı |  |  | | 
Serpil Ural | Onbaşı Nezahat | Çocuk Kitabı |  |  | | 
Serpil Ural | Bizi Ayıran Sokak | Çocuk Kitabı |  |  | | 
Serpil Ural | Üşengeç Yengeç | Çocuk Kitabı |  |  | | 
Ebubekir Hazım Tepeyran | Küçük Paşa | Roman |  |  | (1910) Türk edebiyatında kahramanı çocuk olan ilk romandır. | 
Ümit Kaftancıoğlu | Kekeme Tavşan | Öykü |  |  | | 
Ümit Kaftancıoğlu | Kan Kardeşim Doru Tay | Öykü |  |  | | 
Ümit Kaftancıoğlu | Dört Boynuzlu Koç | Öykü |  |  | | 
Ümit Kaftancıoğlu | Çizmelerim Keçeden | Öykü |  |  | | 
Ümit Kaftancıoğlu | Altın Ekin | Öykü |  |  | | 
Miyase Sertbarut | Kapiland Serisi | Roman Dizisi |  |  |  | 
Miyase Sertbarut | Çöp Plaza | Roman |  |  |  | 
Miyase Sertbarut | Sisin Sakladıkları | Roman |  |  |  | 
Miyase Sertbarut | Yuan Huan'ın Kulübesi | Roman |  |  |  | 
Rakım Çalapala | Yavrutürk ve Çocuk Haftası Dergileri | Dergi |  |  | Bu dergileri yönetmiştir. | 
Nimet Çalapala | 87 Oğuz | Çocuk Hikâye Kitabı |  |  | Eşi Rakım Çalapala ile birlikte yazmıştır. | 
Yalvaç Ural | Miço Çocuk Dergisi | Dergi |  |  | Yalvaç Ural tarafından çıkarılmıştır. | 
