Tevfik Fikret | Rübab-ı Şikeste | Şiir |  |  | Tevfik Fikret'in ilk şiir kitabıdır (1899). Aşk, kahramanlık, aile sevgisi, doğa gibi konuları işlemiştir. Servetifünun tarzındaki şiirleri bu kitapta toplanmıştır. Kitabın başında bulunan "Süha ve Pervin" şiirindeki Süha karakteri, mizacıyla Fikret'in kendisini yansıtır. Şairin 1895 sonrası karamsar tavrı "Gayya-yı Vücud" şiirinde zirveye ulaşır; varlığını cehennem kuyusunda görecek kadar kötümserdir. "Perde-i Teselli"de 80 yaşındaki kör bir dilenciye dünyayı görmediği için gıpta eder. Bu karamsarlıktan kurtuluşu hayal, aşk ve sanatta bulur; "Yeşil Yurt" şiirinde hayali bir saadet ülkesi tasavvur eder. Dönemin modasına uyarak 19'u tabiat, 6'sı insanla ilgili olmak üzere tablo altı şiirler yazmış; yılın 12 ayını anlattığı şiirlerini "Aveng-i Şuhur"da, Fuzuli, Cenab, Nedim, Üstad Ekrem, Nef'i ve Hamid'i anlatanları ise "Aveng-i Tesavir"de toplamıştır. François Coopee etkisiyle yazdığı sosyal manzumeler merhamet duygusu taşır. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Halit Ziya Uşaklıgil | Kırk Yıl | Anı |  |  | Edebiyat dünyasına dair geniş gözlemlerini ve anılarını içeren önemli bir hatırat kitabıdır. | Türk edebiyatında Avrupa tarzında eser veren ilk büyük romancıdır. Fransız realist ve natüralist yazarlardan etkilenmiştir. Eserlerinde geniş tasvirlere ve derin psikolojik tahlillere yer vermiştir. Romanlarında İstanbul'daki eğitimli ve zengin kesimi, hikâyelerinde ise halkın arasına girmeye çalışmıştır. Arapça ve Farsça kelimelerle yüklü ağır bir dili vardır; ancak sağlığında eserlerini kendisi sadeleştirmiştir. "Hikaye" başlıklı yazısında roman hakkındaki görüşlerini dile getirmiştir. Mensur şiirin yetkin ilk örneklerini vermiştir. Hikâyelerinde Maupassant tarzı hakimdir.
Halit Ziya Uşaklıgil | Saray ve Ötesi | Anı |  |  | - | 
Halit Ziya Uşaklıgil | Bir Acı Hikâye | Anı |  |  | Tiran elçiliğinde çalışan oğlu Halil Vedat'ın ölümü üzerine yazılmıştır. | 
Halit Ziya Uşaklıgil | Sanata Dair | Deneme |  |  | 4 ciltlik deneme eseridir. | 
Halit Ziya Uşaklıgil | Mensur Şiirler | Mensur Şiir |  |  | Türk edebiyatında mensur şiir türünün yetkin ilk örneklerini verdiği eseridir. | Türk edebiyatında Avrupa tarzında eser veren ilk büyük romancıdır. Fransız realist ve natüralist yazarlardan etkilenmiştir. Eserlerinde geniş tasvirlere ve derin psikolojik tahlillere yer vermiştir. Romanlarında İstanbul'daki eğitimli ve zengin kesimi, hikâyelerinde ise halkın arasına girmeye çalışmıştır. Arapça ve Farsça kelimelerle yüklü ağır bir dili vardır; ancak sağlığında eserlerini kendisi sadeleştirmiştir. "Hikaye" başlıklı yazısında roman hakkındaki görüşlerini dile getirmiştir. Mensur şiirin yetkin ilk örneklerini vermiştir. Hikâyelerinde Maupassant tarzı hakimdir.
Halit Ziya Uşaklıgil | Mezardan Sesler | Mensur Şiir |  |  | Mensur şiir türündedir. | 
Halit Ziya Uşaklıgil | Hikâye | İnceleme / Eleştiri |  |  | "Roman ve hikâye sanatı hakkındaki görüşlerini açıkladığı | 
Süleyman Nazif | Gizli Figanlar | Şiir |  |  | - | 
Süleyman Nazif | Firak-ı Irak | Şiir |  |  | - | 
Süleyman Nazif | Batarya ile Ateş | Şiir-Nesir |  |  | - | 
Süleyman Nazif | Malta Geceleri | Şiir-Nesir |  |  | İstanbul'un işgali üzerine yazdığı "Kara Bir Gün" makalesi nedeniyle sürüldüğü Malta'da, vatan hasretiyle kaleme aldığı şiir ve nesirlerden oluşur. | Servetifünun topluluğuna katıldıktan sonra bireysel konuları işleyen Süleyman Nazif, İtilaf Devletleri tarafından İstanbul'un işgal edilmesi üzerine yazdığı "Kara Bir Gün" adlı yazısı nedeniyle Malta'ya sürülmüştür. Malta'da sürgündeyken yazdığı vatan konulu şiirleriyle ünlenmiştir. Şiirlerinde Namık Kemal'i örnek almış, Servetifünun sanat anlayışı ile tam bir uyuşma içinde olmamıştır. Eserlerinde vatan, millet, hürriyet konularını işlemiştir.
Süleyman Nazif | Çal Çoban Çal | Makale |  |  | - | 
Süleyman Nazif | Malum-ı İlam | Makale |  |  | - | 
Süleyman Nazif | Tarihin Yılan Hikâyesi | Makale |  |  | - | 
Süleyman Nazif | Nasreddin Şah ve Babiler | Makale |  |  | - | 
Süleyman Nazif | Kara Bir Gün | Makale |  |  | "İstanbul'un işgali üzerine yazdığı ve Malta'ya sürülmesine neden olan ünlü yazısıdır." | 
Mehmet Rauf | Eylül | Roman |  |  | Türk edebiyatının ilk psikolojik romanı kabul edilir. İç konuşma tekniğinin ilk kez başarıyla kullanıldığı eserdir. Süreyya, karısı Suad ve akrabaları Necip arasındaki yasak aşk ekseninde gelişen roman, eylül ayının melankolik atmosferinde yasak bir aşkın ruhsal boyutlarını derinlemesine işler. Necip ve Suad'ın müzik aşkı etrafında filizlenen yakınlaşmaları, Suad'ın bir çift eldiveninin tekini Necip'e vermesiyle sembolleşir. Romanın sonunda çıkan bir yangında Necip, Suad'ı kurtarmak için alevlere dalar ve ikisi birlikte yanarak can verir. Bu trajik sonla "iki eldiven" birleşmiş olur. | Ruh tahlillerinde oldukça başarılı olan Mehmet Rauf, Halit Ziya'nın etkisinde kalmış ancak ondan daha sade bir dil kullanmıştır. Roman, hikâye ve mensur şiir türünde eserler vermiştir. "Eylül" adlı romanıyla Türk edebiyatında psikolojik roman türünün öncüsü olmuş, iç konuşma (iç monolog) tekniğini ilk kez başarıyla uygulamıştır. Servet-i Fünun dergisinde 1899'da yayınlanan "Bizde Roman" başlıklı yazısında roman anlayışını açıklamıştır. "Halas" (Kurtuluş) adlı romanında Milli Mücadele dönemini işlemiştir.
Mehmet Rauf | Ferda-yı Garam | Roman |  |  | - | 
Mehmet Rauf | Genç Kız Kalbi | Roman |  |  | - | 
Mehmet Rauf | Karanfil ve Yasemin | Roman |  |  | - | 
Mehmet Rauf | Böğürtlen | Roman |  |  | - | 
Mehmet Rauf | Define | Roman |  |  | - | 
Mehmet Rauf | Son Yıldız | Roman |  |  | - | 
Mehmet Rauf | Ceriha | Roman |  |  | - | 
Mehmet Rauf | Kan Damlası | Roman |  |  | - | 
Mehmet Rauf | Halas | Roman |  |  | Kurtuluş Savaşı döneminde geçen | 
Mehmet Rauf | Yara | Roman |  |  | - | 
Mehmet Rauf | İhtizar | Roman |  |  | - | 
Mehmet Rauf | Âşıkname | Roman |  |  | - | 
Mehmet Rauf | Son Emel | Hikâye |  |  | - | 
Mehmet Rauf | Bir Aşkın Tarihi | Hikâye |  |  | - | 
Mehmet Rauf | Üç Hikâye Âşıkane | Hikâye |  |  | - | 
Mehmet Rauf | İntizar | Hikâye |  |  | - | 
Mehmet Rauf | Kadın İsterse | Hikâye |  |  | - | 
Mehmet Rauf | Siyah İnciler | Mensur Şiir |  |  | Mehmet Rauf'un mensur şiir türündeki eseridir. | Ruh tahlillerinde oldukça başarılı olan Mehmet Rauf, Halit Ziya'nın etkisinde kalmış ancak ondan daha sade bir dil kullanmıştır. Roman, hikâye ve mensur şiir türünde eserler vermiştir. "Eylül" adlı romanıyla Türk edebiyatında psikolojik roman türünün öncüsü olmuş, iç konuşma (iç monolog) tekniğini ilk kez başarıyla uygulamıştır. Servet-i Fünun dergisinde 1899'da yayınlanan "Bizde Roman" başlıklı yazısında roman anlayışını açıklamıştır. "Halas" (Kurtuluş) adlı romanında Milli Mücadele dönemini işlemiştir.
Mehmet Rauf | Bizde Roman | Makale |  |  | Servet-i Fünun dergisinde yayımlanan ve roman anlayışını açıkladığı yazısıdır. | 
Hüseyin Cahit Yalçın | Nadide | Roman |  |  | - | 
Hüseyin Cahit Yalçın | Hayal İçinde | Roman |  |  | Bir ruh çözümlemesi romanıdır. Toy bir okul öğrencisinin duyguları, hayalleri ve sıkıntıları çok basit bir konu içinde realist bir yöntemle çözümlenir. Dili sade, anlatımı süsten uzaktır. | Hikâye, roman, eleştiri yazarı ve gazeteci olan Hüseyin Cahit Yalçın, eserlerinde gözleme önem verir. Dili sade ve anlatımı süsten uzaktır. Eski edebiyata karşı Batı edebiyatını savunmuştur. "Kavgalarım" adlı eseri, Servetifünun topluluğuna yönelik eleştirilere verdiği cevaplardan oluşur. "Edebi Hatıralar" ve "Malta Adasında" adlı anı kitaplarını da kaleme almıştır.
Hüseyin Cahit Yalçın | Hayat-ı Muhayyel | Hikâye |  |  | - | 
Hüseyin Cahit Yalçın | Niçin Aldatırlarmış? | Hikaye |  |  | Yazarın hikâye türündeki eserlerindendir. | Hikâye, roman, eleştiri yazarı ve gazeteci olan Hüseyin Cahit Yalçın, eserlerinde gözleme önem verir. Dili sade ve anlatımı süsten uzaktır. Eski edebiyata karşı Batı edebiyatını savunmuştur. "Kavgalarım" adlı eseri, Servetifünun topluluğuna yönelik eleştirilere verdiği cevaplardan oluşur. "Edebi Hatıralar" ve "Malta Adasında" adlı anı kitaplarını da kaleme almıştır.
Hüseyin Cahit Yalçın | Edebi Hatıralar | Anı |  |  | - | 
Hüseyin Cahit Yalçın | Malta Adasında | Anı |  |  | - | 
Hüseyin Cahit Yalçın | Kavgalarım | Eleştiri |  |  | Servetifünun topluluğuna yönelik eleştirilere karşı kaleme aldığı cevap niteliğindeki eseridir. | Hikâye, roman, eleştiri yazarı ve gazeteci olan Hüseyin Cahit Yalçın, eserlerinde gözleme önem verir. Dili sade ve anlatımı süsten uzaktır. Eski edebiyata karşı Batı edebiyatını savunmuştur. "Kavgalarım" adlı eseri, Servetifünun topluluğuna yönelik eleştirilere verdiği cevaplardan oluşur. "Edebi Hatıralar" ve "Malta Adasında" adlı anı kitaplarını da kaleme almıştır.
Hüseyin Siret Özsever | Leyal-i Girizan | Şiir |  |  | Hüseyin Siret'in Servetifünun etkisindeki dönemine ait, ağır dilli şiirlerinden oluşan kitabıdır. | Önceleri Tevfik Fikret'in etkisinde kalarak ağır bir dil kullanmış, daha sonra anlaşılır bir dile yönelmiştir. Servetifünun şairleri içinde en lirik ve en duygusal sanatçı olarak tanınır. Bazı şiirlerinde "Ömer Senih" mahlasını kullanmıştır.
Hüseyin Siret Özsever | Bağbozumu | Şiir |  |  | - | 
Hüseyin Siret Özsever | Kıvılcımlı Kül | Şiir |  |  | - | 
Hüseyin Siret Özsever | Kargalar | Şiir |  |  | - | 
Celal Sahir Erozan | Beyaz Gölgeler | Şiir |  |  | Servet-i Fünûn'un en genç isimlerinden olan, aynı zamanda Fecr-i Âtî'nin de kurucuları arasında yer alan Celal Sahir'in şiir kitabıdır. | Edebi hayatını Servet-i Fünûn, Fecr-i Âtî ve Millî Edebiyat dönemlerine ayırabileceğimiz Celâl Sahir, daha çok şair kimliğiyle ön plana çıkmıştır. 1909'da Fecr-i Âti topluluğuna, daha sonra da Türkçülük akımına katılmıştır. "Aşk ve kadın şairi", "feminist şair", "şair-i nisa" gibi tabirlerle anılmış; şiirlerinde aşk ve kadın temasını hiçbir zaman ikinci plana atmamıştır. Balkan Savaşları, Kurtuluş Savaşı, vatan duygusu gibi konularda da şiirler yazmıştır.
Celal Sahir Erozan | Siyah Kitap | Şiir |  |  | - | 
Celal Sahir Erozan | Buhran | Şiir |  |  | - | 
Ali Ekrem Bolayır | Şiir Defteri | Şiir |  |  | Namık Kemal'in oğlu olan Ali Ekrem'in, Cumhuriyet döneminde çocuklar için yazdığı öğretici şiirleri içeren eseridir. | Namık Kemal'in oğlu olması nedeniyle daha çocuk yaşlarda edebiyatla yakından ilgilenmiştir. Divan şiirini iyi bilen, ancak yeniliğe de açık olan İsmail Safa'nın etkisi altındadır. Servet-i Fünûn dergisinde Ayn Nâdir (A. Nadir) takma adını kullanmıştır. Cenap Şehabettin ile Halit Ziya'nın dilini eleştiren "Şiirimiz" başlıklı makalesiyle dergi içi tartışmalara yol açmış ve dergiden ayrılmıştır.
Ali Ekrem Bolayır | Vicdan Alevleri | Şiir |  |  | - | 
Saffeti Ziya | Salon Köşelerinde | Roman |  |  | Edebiyata Servet-i Fünun'da yayımlanan "Kadın Ruhu" öyküsüyle başlayan yazarın, sosyete yaşamını anlattığı romanıdır. | Saffeti Ziya, sosyete hayatını konu alan romanıyla tanınmış bir Servetifünun yazarıdır.
Safvet Nezihi | Zavallı Necdet | Roman |  |  | İkdam gazetesinde tefrika edilmesiyle yazarın adını duyurduğu romanıdır. Servet-i Fünûn roman karakterlerini andıran tiplerle, Batılı hayat tarzına özenen varlıklı çevrelerde geçen aşk maceralarını işler. | Asıl adı Ömer Lütfi olan Safvet Nezihi, Edebiyat-ı Cedîde döneminin popüler roman yazarlarındandır. Romanlarında Halit Ziya ve Mehmet Rauf'un eserlerindeki tipleri hatırlatan karakterler yaratmış; Batılı hayat tarzına özenen varlıklı çevrelerde geçen aşk maceralarını işlemiştir. Ahmet Mithat ve Hüseyin Rahmi'nin izinden giderek eserlerinde halkı bilinçlendirme gayesi de taşımıştır.
Safvet Nezihi | Teehhül Aleminde | Roman |  |  | Geleneksel aile yapısını ele alan romanıdır. | 
Safvet Nezihi | Kumar Beliyyesi | Roman |  |  | - | 
Safvet Nezihi | Hemzâd | Roman |  |  | - | 
Safvet Nezihi | Kadın Kalbi | Roman |  |  | - | 
Safvet Nezihi | Müsebbib | Roman |  |  | - | 
Safvet Nezihi | İzah ve İstizah | Tiyatro |  |  | - | 
Safvet Nezihi | Garibeler | Tiyatro |  |  | - | 
Safvet Nezihi | Makâlât-ı Nezih | Makale |  |  | - | 
İsmail Safa | Ey Halk Uyan | Şiir |  |  | Tanınmış şiiridir. | 
Ahmet Hikmet Müftüoğlu | Gönül Hanım | Roman |  |  | Turancılık idealini işleyen, Türk birliği düşüncesini roman kurgusu içinde anlattığı eseridir. | Servet-i Fünûn'un ilk yazarlarından olan Ahmet Hikmet, II. Meşrutiyet'in ardından Türkçülük cereyanının en hararetli taraftarlarından biri olmuştur. Türk Derneği'nin üyeleri ve Türk Yurdu Cemiyeti'nin kurucuları arasında yer almıştır. "Gönül Hanım" romanında Turancılık idealini işlemiştir.
Ahmet Hikmet Müftüoğlu | Çağlayanlar | Öykü |  |  | Servet-i Fünûn'dan sonra Türkçülük akımına katılan yazarın, milli duyguları ve Türklük bilincini yansıtan öykülerini topladığı önemli eseridir. | Servet-i Fünûn'un ilk yazarlarından olan Ahmet Hikmet, II. Meşrutiyet'in ardından Türkçülük cereyanının en hararetli taraftarlarından biri olmuştur. Türk Derneği'nin üyeleri ve Türk Yurdu Cemiyeti'nin kurucuları arasında yer almıştır. "Gönül Hanım" romanında Turancılık idealini işlemiştir.
Ahmet Hikmet Müftüoğlu | Hâristan ve Gülistan | Öykü |  |  | İlk dönem hikâyelerindendir. | 
Faik Ali Ozansoy | Fani Teselliler | Şiir |  |  | Şair Süleyman Nazif'in kardeşi olan Faik Ali'nin 1908'de yayımlanan ilk şiir kitabıdır. | Süleyman Nazif'in kardeşi olan Faik Ali Ozansoy, 1909'da Fecr-i Âti topluluğuna başkanlık etmiş ve topluluğa "Fecr-i Âti" adını vermiştir. Şair Munis Faik Ozansoy'un babasıdır.
Ahmet Şuayp | Hayat ve Kitaplar | Eleştiri |  |  | Servetifünun edebiyatına bilimsel eleştiri türünü kazandıran Ahmet Şuayp'ın, benimsediği felsefi sistemin tüm yönlerini ortaya koyan eseridir. | Servetifünun edebiyatına bilimsel eleştiri türünü kazandıran Ahmet Şuayp, yalnızca eleştiri türünde eser vermiştir. Fransız basınındaki edebi eleştirileri yakından takip etmiş ve bunları "Esmar-ı Matbuat" başlığıyla Servet-i Fünun'da yayımlamıştır. Servetifünun edebiyatına eleştirel yaklaşmıştır.
Ahmet Şuayp | Esmar-ı Matbuat | Eleştiri |  |  | Servet-i Fünun'da yayımladığı | 
Mehmet Rauf | Halas (Kurtuluş) | Roman |  |  | Milli Mücadele dönemini konu alan romandır. Genç subay Nihat'ın Suriye'de yaralanıp İstanbul'a gelmesi, ardından İzmir'e geçerek bir İngiliz kızına aşık olması, ancak Yunan işgali karşısında milli duygularının ağır basarak gizli bir örgüte katılması anlatılır. | Ruh tahlillerinde oldukça başarılı olan Mehmet Rauf, Halit Ziya'nın etkisinde kalmış ancak ondan daha sade bir dil kullanmıştır. Roman, hikâye ve mensur şiir türünde eserler vermiştir. "Eylül" adlı romanıyla Türk edebiyatında psikolojik roman türünün öncüsü olmuş, iç konuşma (iç monolog) tekniğini ilk kez başarıyla uygulamıştır. Servet-i Fünun dergisinde 1899'da yayınlanan "Bizde Roman" başlıklı yazısında roman anlayışını açıklamıştır. "Halas" (Kurtuluş) adlı romanında Milli Mücadele dönemini işlemiştir.
Süleyman Nazif | Gizli Fiqanlar | Şiir |  |  | Servetifünun döneminde bireysel konuları işlediği şiir kitabıdır. | Servetifünun topluluğuna katıldıktan sonra bireysel konuları işleyen Süleyman Nazif, İtilaf Devletleri tarafından İstanbul'un işgal edilmesi üzerine yazdığı "Kara Bir Gün" adlı yazısı nedeniyle Malta'ya sürülmüştür. Malta'da sürgündeyken yazdığı vatan konulu şiirleriyle ünlenmiştir. Şiirlerinde Namık Kemal'i örnek almış, Servetifünun sanat anlayışı ile tam bir uyuşma içinde olmamıştır. Eserlerinde vatan, millet, hürriyet konularını işlemiştir.
